run,views,vggt_seconds,vggt_vram_gb,retained,ate,rotation,depth_raw_absrel,depth_rmse,depth_absrel,depth_coverage,psnr,psnr_horizontal,psnr_poles,ssim,lpips_squeeze,train_seconds,raster_fps
cubemap,18,0.5428400002419949,5.6822357177734375,30000,0.8617585619573453,93.81755797964014,0.13492238521575928,0.38032299280166626,0.12180747091770172,0.6497769825522802,6.467612600326538,6.471972346305847,6.450173616409302,0.008121973639936187,0.8406051516532898,10.535546887665987,3316.0690254095434
erp_direct,3,0.3945764973759651,4.783788681030273,30000,,,,,,,,,,,,13.633674625307322,3574.5544514902217
kitchen,24,0.6629456169903278,5.80242919921875,60000,,,,,,,,,,,,17.536149326711893,3070.0498325419812
nerf_confidence,23,0.6158681660890579,5.775642395019531,30000,0.3000711503746921,4.444609322724017,,,,,12.2979097366333,,,0.6573673129081726,0.4023855745792389,11.196065172553062,3667.054853206036
nerf_confidence_masked,23,0.6732573471963406,5.775642395019531,30000,0.3000711503746921,4.444609322724017,,,,,12.142667007446288,,,0.649172055721283,0.31759229898452757,13.744114503264427,3412.1653303693956
nerf_consistency,23,0.6132632941007614,5.775642395019531,30000,0.3000711503746921,4.444609322724017,,,,,12.055037307739259,,,0.6435905575752259,0.31941890716552734,7.606920477002859,3298.8530257694383
nerf_consistency_masked,23,0.6732573471963406,5.775642395019531,30000,0.3000711503746921,4.444609322724017,,,,,12.157513427734376,,,0.6499994039535523,0.3152340054512024,12.05390964820981,3381.2957419187755
nerf_raw,23,0.6732573471963406,5.775642395019531,30000,0.3000711503746921,4.444609322724017,,,,,12.117699813842773,,,0.6549654364585876,0.4193368196487427,13.76404495537281,3612.645496094444
nerf_raw_masked,23,0.6732573471963406,5.775642395019531,30000,0.3000711503746921,4.444609322724017,,,,,11.979873085021973,,,0.6210914373397827,0.34368169903755186,13.931086730211973,3496.3008578481654
overlap,24,0.7163191586732864,5.80242919921875,30000,0.8610275317442665,101.87867035123328,0.18714536726474762,0.5443950295448303,0.17736151814460754,0.6486353221844293,6.834575605392456,6.750231921672821,7.171950340270996,0.043682708134292626,0.861748218536377,12.973170593380928,3553.7325944381632
overlap_anchor,30,0.7633045725524426,5.91453742980957,30000,0.2571653793329192,14.540859140045878,0.2742954194545746,0.6621593236923218,0.22517883777618408,0.6489291028911565,14.645909309387207,14.1396484375,16.670952796936035,0.36366717219352723,0.47330955862998964,14.195660021156073,3701.9406832708864
overlap_consistency,24,0.7163191586732864,5.80242919921875,30000,0.8610275317442665,101.87867035123328,0.18714536726474762,0.5315357446670532,0.17004458606243134,0.5623878023431594,6.848651981353759,6.785099506378174,7.1028618812561035,0.04110223363095429,0.8576669812202453,14.404007449746132,3541.3368231913732
overlap_constrained,24,0.7163191586732864,5.80242919921875,30000,0.5543932824382484,158.42887038304528,0.18714536726474762,0.5443950295448303,0.17736151814460754,0.6486353221844293,10.12143054008484,9.953407227993011,10.793523788452148,0.2629769369959831,0.7690996944904327,12.21307960525155,3220.320948252055
overlap_fullsphere,30,0.7638361565768719,5.91453742980957,30000,0.8552602060507662,148.80724316530387,0.2742954194545746,0.6621593236923218,0.22517883777618408,0.6489291028911565,7.139325666427612,7.2487863302230835,6.7014830112457275,0.06429924358380959,0.7955116748809814,13.886144019663334,3686.5391114993704
